Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
555,Positive,old school grew slightly selected philly gronds folks drinks recently place starr impress setting top hanging woven floor anchored sunken area tables ceiling hang remind bokeh eminating soft warm golden young loud young women entirely intended together upbeat setting big music bring better food often smaller sharing others pil shoestring french garlic dip enjoyed flatbread desserts also smaller allow one thing highly recommend conty will might masculinity drink something candy johnny blue however dripping making aside range choices contend ones challenge full selection tried old selections early century drink website gotta felt service hostesses enthusiastic will recommendations given often liking roofdeck entirely dimension toward attracting crowd large adorned area seating bring dj music hear vibrant often ideal early spot wherever going entrance bill starr line opinion entice sales one thing relatively although bottom line continental said dining experience atmosphere reason even main ,enthusiastic enjoyed pi flat dessert recommend although drink service phil often smaller however impress spot sunken remind bring sharing tables ,0,0,0
4331,Negative,closing ordered soon sat waited waiter waiting wait yes manager someone say ummm tip almost bills throw muffins stress necessary us offering whatsoever wow helpful think happened closing minutes less re open kitchen another kitchen us missed got sucked boyfriend instead missed starving people ,stress tip people less missed re manager open starving almost umm instead offering minutes sucked soon think sat mu bills ,0,0,0
26,Positive,enjoy typical size create exposed emit lighting built arches daily orita charm tapas places charge slot reserving advance decided stick sangrias amazing perfect one fruit liquor splendor also went blueberry delicious definitely feeling quickly willa gives watched soul whipping castanets sultry makes passionate show nevertheless places nai thankful easily bask heat travel flamencho perhaps ,amazing passionate delicious perfect makes charm soul show enjoy feeling nevertheless flame watched will easily arches fruit gives or also ,1,1,1
1214,Negative,average spent wrong however exquisite views average food less time expecting told hours crazy obliged thinking drinks asked explained basically hell bucks highway stroller park know rest fried sandwich priced guess reason escorted tables unless incredibly still many tables bill style beat prices spot ,average spent prices reason many style basically less spot still guess unless explained hours park wrong asked highway bill priced ,0,1,1
295,Positive,boo food makes pancakes tasty served big fan sauces tartar sauce crab imitation ,boo ta served makes pancakes crab tar sauce ,1,1,0
569,Negative,star starr diner least old maybe place odd trying hard place character service excellent excellent small towners kids neither know philly ,neither maybe old small hard excellent trying least character star place know starr odd service ,1,1,1
269,Positive,amazing old showed husband line almost ish part food coffee time stellar food words life pancake need butter thee smile eat go ,old stellar amazing almost smile is line life pan butter husband go coffee time thee eat food ,0,0,1
913,Negative,food gotten give told food eat kind blank think made back neighborhood poori bread home realized bueno thick someone use flour think rice alone ,use poor rice bu thick alone think flour blank made bread gotten back realized give home neighborhood kind food eat ,1,1,0
188,Positive,new italian moe friendly pie us takes minutes dipping let us know portabella stuffed crabmeat roasted pepper cheese delicious fried awesome try place friendly ,awesome delicious fried takes cheese roasted know friendly stuffed pie dipping minutes new us place moe italian pepper ,0,1,0
157,Negative,throw finest vomit hole hello trough way disregard worry hold drunk okay worries eventually minute steak makes place vomit away ,vomit away hole makes trough drunk place hello worries eventually way worry throw minute ,0,0,0
449,Positive,yeah place excellent friendly good accommodate quick dinner breakfast please ran ,excellent friendly good place please dinner quick breakfast ,1,1,0
