Topic_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
3522,AUTO,convertibles bouton gertrude cms udel katherine wondering someone point somewhere find list hopefully comparison days seems making big comeback sure look ,comeback seems sure someone look big find list somewhere wondering ,1,1,1
6536,MEDICINE,kaminski netcom peter sci med chemistry julkunen messi uku fi antero newsgroup physics quite lot discussion group many chemical items prolactin cholesterol tsh etc also got potential instead splitting classification biochemistry probably topics thinking pharmaceutical otherwise might end bio separate issue whether sufficient news volume support either groups add em medical health wish list looking forward posting discussing another days pete ,potential uk net many quite mess whether list end etc ,0,0,0
3697,AUTO,faraday clas virginia roy matthew thigpen getting car need opinions good luck ,good need car roy luck matthew getting cl opinions th ,1,1,1
6509,MEDICINE,nyeda cnsvax uwec david nye mental illness reply dabbott augean eleceng adelaide au derek abbott case histories severe cases remarkably recovering tragic accident trauma eg fault trapped fire losing legs say know patient severely chronically depressed tried kill bullet temple essentially gave prefrontal lobotomy curing depression midelfort clinic eau claire wi patently absurd whoever wishes become philosopher must learn frightened absurdities bertrand russell ,depressed mid chronic severe fault depression absurd u severely become ,0,1,1
3720,AUTO,grady world std dick seating ergonomics headroom article amiller almaden ibm alex miller physical therapist suggested good driving position back nearly vertical knees much higher hips cars particularly respect well designed seat height take look mini vans sat dodge caravan high plenty salem nh usa many newsgroups little time ,well little suggested respect height dodge designed cars nearly hips ,1,1,0
6506,MEDICINE,dougb comm mot doug bank blood cholesterol gabe advice article mojo eng umd georgec george clark forget total assessing health risk factors instead use relationship ldl hdl need least gee must risking something high triglycerides drug choice gemfibrozil lopid taken tablet thirty minutes morning evening meals exercise low fat diet long term effects private systems division ecs motorola communications sector nwu schaumburg illinois casbah acns ,low com drug um fat high exercise use total ld ,1,1,1
3777,AUTO,barnesm sun mark barnes sunsoft warning please read san francisco recently finest examples humanity poured oil road vehicles going uphill suddnely become immobile walk right make demands known system engineer insert standard disclaimers corporate technical escalations speak individual menlo park ca usa company work vavau corp ,im walk become poured make oil going read standard finest ,0,0,1
6570,MEDICINE,geb cs pitt gordon banks sinus vs migraine endoscopy article news eng convex cash peter way brain even pain receptors thought heard surgery performed patient conscious precisely reason talking sensory innervation structures thalamus handle entire organism apples oranges skepticism chastity intellect cadre dsl shameful surrender soon ,shame mig vs end sin brain reason even pitt entire ,1,1,0
3635,AUTO,sawicki naspac tc faa gov michael cta regal fiberglass parts interested buying hood trunk bumpers anybody know company makes regals thanks advance mike ,thanks know michael anybody gov nas ct mike hood saw ,0,1,0
6504,MEDICINE,uabdpo dpo uab stephen holland lactose intolerance article husc harvard ho leung ng kid primary school used drink tons milk without problems however nowadays hardly experiencing discomfort responsible change became older intestine normalized weaned state tolerance unusual adults mammals except sapiens northern european origin asian descent assumption based name loss lactase normal steve ,problems normal sap int experiencing responsible assumption loss state primary ,0,0,0
3527,AUTO,shou logos asd sgi tom ford explorer need performance axle considering getting xlt following questions go skiing roading limited slip purpose allow tires act independently different terrain will season good enough us lake tahoe thanks silicon graphics shoreline blvd ms fax mountain view ca ,good season us enough questions act will skiing terrain considering ,1,1,0
6515,MEDICINE,euclid mrcnext cso uiuc anti viral herbs pitt kenneth gilbert unfortunately rather poorly researched available today invented keep mind however days bottle coca cola really contain extract certain amount active cocaine times changed attitudes need change well yes part point aspirin problems situations useful ditto stuff licorice root taking anything drug theraputic purposes implicitly carries idea dose benefits exceeded unwanted additional effects potential ill known risk assumed parties involved may given situation worthwhile prozac instance shown cases tri cyclics fail use long clear taken periods time even though tested present day standards market term imho say university pittsburgh general internal medicine pa dammit programmer standard disclaimers apply bit ironic wave model light understand propagation system leaves trace hudson nelson ,poorly anti di fail wave system standard drug disc problems ,1,0,1
3917,AUTO,reid ucs indiana frank kuebelwagen article mentor cc purdue thwang tommy hwang sorry mis spelling forgot spell series exams hand reference still possible cute wwii vw jeep wanna replica great think tkh thing kubelwagen lookalike manufactured mexico possibly south america good luck importing one probably meet us safety pollution requirements mechanics junkyards specialize might helpful finding unless re enacters grabbed german equivalent wheel drive display patton museum fort knox kentucky also rare schwimwagen sp amphibious version full scale dioramas highly recommended ,highly di recommended helpful sorry unless finding rare wwii still ,1,1,1
6588,MEDICINE,geb cs pitt gordon banks fingernail moons article calcom socal daniel prince lunulas thumbs medical significance finding thank advance replies try peeling skin back base fingernails hard now want hurt find nice little peel enough skepticism chastity intellect cadre dsl shameful surrender soon ,shame finger surrender hard base pitt lu enough cs daniel ,0,1,1
3642,AUTO,yfn ysu john daker isuzu amigo opinions sought previous article sdexter shl scott dexter feedback appreciated yet another jeep wannabe designed yuppies will never take road want look outdoorsey dod darkman significant problems face solved level thinking created albert einstein eternal ,created level jeep designed albert will einstein solved yu eternal ,1,1,1
6552,MEDICINE,km cs pitt ken mitchum update help article equator jod john setel imho lyme disease told private email predicted might next start migrating pains joint original poster business soliciting diagnoses net dr mr supplying one major reason real physicians avoid newsgroup plague also another example double physician offered diagnose treat sued people without qualifications free whatever want disclaim doctor keep crap period ,crap disease start avoid im predicted disc without reason net ,0,0,1
3920,AUTO,tmspence bronze ucs indiana thomas morris spencer honda groups especially ones deal preludes tom ,bronze ones uc t spencer honda morris prelude groups indiana ,1,1,1
6672,MEDICINE,ghilardi urz unibas ch left side pains hello everybody write kind desperate six weeks suffering head leg sometimes arm made many tests computer tomography negative lyme borreliosis electrolytes blood correct range healthy matter fact feeling also considered shown little much hemoglobin common unfortunately know units hemi sided result possible block neck muscles fever entirely sick neither please answer direct email thanks every hint nico ,negative un little result head block shown suffering much unfortunately ,0,0,0
3600,AUTO,mobasser vu vlsi ee vill bijan mobasseri dumbest automotive concepts time ford vent windows operated crank window opened normal bronco pretty much every truck seen worth riding mean young feller anymore james callison microcomputer coordinator oklahoma law center understand fascination create tremendous turbulence noise makes even simple connversation impossible speeds current flow throuh ventilation designed right far superior ,noise superior designed right dumb ventilation tremendous impossible flow far ,1,1,1
6522,MEDICINE,jfare waterloo ncr jim fare oily skin problem article vaxc stevens tech wash face becomes half hour especially nose region illness prevent occuring short time cleanser will better job cleaning become think quite moderate acne many years found vigorously scrub nail brush soap irish spring twice day still leave pretty health print mirror min ask real anymore ,problem scrub nose oil half moderate better wash clean min ,0,1,1
