Topic_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
3522,AUTO,convertibles bouton gertrude cms udel katherine wondering someone point somewhere find list hopefully comparison days seems making big comeback sure look ,comeback seems sure someone look big find list somewhere wondering ,0,1,1
6505,MEDICINE,bennett kuhub cc ukans lungs long take clear tar quitting chances getting lung cancer decrease quickly considerable amount time happen ,cancer quit quickly clear decrease lung long cc amount uk ,0,0,0
3558,AUTO,steve green csiro au subaru liberty owners station wagon months now saying happy understatement great well built handles beautifully plenty power trip mountains narrow windy dirt road often parts ease havent much fun driving car years hey rocky watch pull rabbit hat comms group trick never works branch sleeve presto australia doubt gotta another ,handles never parts power narrow well haven built much trip ,1,1,1
6522,MEDICINE,jfare waterloo ncr jim fare oily skin problem article vaxc stevens tech wash face becomes half hour especially nose region illness prevent occuring short time cleanser will better job cleaning become think quite moderate acne many years found vigorously scrub nail brush soap irish spring twice day still leave pretty health print mirror min ask real anymore ,problem scrub nose oil half moderate better wash clean min ,0,1,1
3720,AUTO,grady world std dick seating ergonomics headroom article amiller almaden ibm alex miller physical therapist suggested good driving position back nearly vertical knees much higher hips cars particularly respect well designed seat height take look mini vans sat dodge caravan high plenty salem nh usa many newsgroups little time ,well little suggested respect height dodge designed cars nearly hips ,1,1,0
6515,MEDICINE,euclid mrcnext cso uiuc anti viral herbs pitt kenneth gilbert unfortunately rather poorly researched available today invented keep mind however days bottle coca cola really contain extract certain amount active cocaine times changed attitudes need change well yes part point aspirin problems situations useful ditto stuff licorice root taking anything drug theraputic purposes implicitly carries idea dose benefits exceeded unwanted additional effects potential ill known risk assumed parties involved may given situation worthwhile prozac instance shown cases tri cyclics fail use long clear taken periods time even though tested present day standards market term imho say university pittsburgh general internal medicine pa dammit programmer standard disclaimers apply bit ironic wave model light understand propagation system leaves trace hudson nelson ,poorly anti di fail wave system standard drug disc problems ,1,1,1
3732,AUTO,dduff col hp dave duff taurus sable rotor recall sables fleet cars site every year company sells later employees folks know drive buy complaints seem real nice ,real folks sells know nice site sable drive complaints employees ,0,0,1
6504,MEDICINE,uabdpo dpo uab stephen holland lactose intolerance article husc harvard ho leung ng kid primary school used drink tons milk without problems however nowadays hardly experiencing discomfort responsible change became older intestine normalized weaned state tolerance unusual adults mammals except sapiens northern european origin asian descent assumption based name loss lactase normal steve ,problems normal sap int experiencing responsible assumption loss state primary ,1,1,0
3723,AUTO,ucsbuxa ucsb archie holmes radio question lloking geo prizm lsi today nice anyway questions salesperson answer theft deterrent audio systems work find lterature thanks advance ,find advance thanks questions lt anyway ll pri sales nice ,0,1,0
6500,MEDICINE,bed intacc uucp deb waddington info disease yr old male friend misdiagnosed osteopporosis two years recently found illness rare symptoms brittle bones lost inches hieght enlarged liver spleen internal bleeding fatigue time problem type attributed genetic mutation lack enzyme glucocerebroside macrophages cells swell will eventually cause death enyzme replacement therapy successfully developed approved fda last patients administered drug called ceredase report remarkable improvement condition manufactured biotech biggy company genzyme costs patient per year justifyably expensive world need researched library relying netlanders provide additional news stories reports people know ideas articles corp hold enough money buy programs available help basically offer thanks much deborah ,thanks lack mis internal problem found u int remarkable g ,0,0,0
