Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
884,Positive,absolute honor reviewer phila upenn broken various rooms homey em makes safe handedly made winter bearable eyes tuaca toddie amish grilled sandwich fave tho dish organic experience someone meal philly without dog ,absolute various makes eyes grilled 
2015,Negative,dear trusted give honest reviews establishment disgust good concept decided birthday thought busy lounge waited half elbow patrons two tables know sit back cramped one point spilled water table next looked even clean conversational food maybe type place entree maybe come understand however need seriously reconsider portioning bit typical say hungry short ribs cow deep location moral dining potato fairly cook skill transcends portioning girlfriend got dish tomatoes review short grab drink recommend dining merits ,give honest establishment decided thought 
1047,Positive,whether keep location pio treat atmosphere important walk quickly miss looks spanning window entry go bar main dining give much expansive food times greatest times definitely though yet looking something good inexpensive formerly known chicken try includes salchipapa looking something world considering ceviches keep mind appear small options drink always sure bet though sangria ,whether location miss looks main 
7779,Negative,horror movie monster dormant curled oblivious drunk drops rouses unfurls miles report files partial video authors missing scene virgin everything fine fails finish enough rose ask date rudiments persnickety another wine left reason great man threw game checked waitress er er want growl probably pretty soon ok begins vibrate one consumed two glasses discordant contrast monster unravel expand troubled spicy olive wrapped long gone case five days anything aspirin stubble razor points girl reveals nothing watches eyes marlowe trouble thing arrive lack sauce side dish ok truffled mac remains plates marlowe almost old self moment sharing small plate murderous buddah eyes see dessert close confused disoriented dangerous er um maybe er monster monster real fire covers nose napkin back napkin behemoth slime tongue goddam marlowe howls rubble actors sag owners tossed pits dessert shove course one left even according footnotes roughly chinese proverb patrons soon tables left turn bronxlands rush bro ,drunk missing fine ask date 
337,Positive,knock sometimes rehearsal clothes tights shirts sure go outfit anyway astounded drinks time bar member called look dictionary new places last knock night believe jumpin karaoke happening many instead subdued older crooning thought jump booooring anyway alcohol sodas come gay make drinks return near ,knock sure drinks new last 
3839,Negative,marabella company buddy night feelings polished vibe service excellent meatballs misses bowl will steep essentially fast food place consisting spaghetti eight sauce cheese bread absurd especially described box artisan past guessing box barilla meatball sampler costs worth meatballs crustini sandwich option change meatballs prepared individually away really worth effort bread differential scoop meatballs four separate fix star spot form stare focusing ,company service will fast food 
266,Positive,whoever picked dropped crown perhaps best brunch brooklyn considering expensive steal anywhere else waiting line minutes glass faded despite small arranged fit people without feeling two eggs homefries chocolate jewish woman toast plentiful cooked order coming back know inside need line let goes pretty fast ,best expensive anywhere line despite 
4799,Negative,burger surprised burger place variety covered drawings jokes etc made previous rather still beef burger give reaction pyt dibruno bros squareburger companions two well ordered one complain always guy food silence one burgers almost done aioli sandwich found fries tasted order frites think aiming availability sauces saved need need soda ,burger covered made rather still 
297,Positive,walnut waffle panty smear cinnamon syrup pass line wrapped around block good right right disappointed food also parm good great terrible seems breakfast disappoint devour belgian waffles french anyone know cardiologist ,cinnamon pass line wrapped block 
709,Negative,good atmosphere exposed brick wooden shelves cramped certain areas knocked night accommodating wine friendly menu pages page expect full right dinner food decent full lamb meatless add injury lamb chops salad salty potato talk lack flavor bit meatball special small menu change much lunch options lamb cost dollars assume lunch nothing restaurant charge much least one places looks good taste good friend try ,atmosphere certain knocked menu expect 
711,Positive,relative les itching pig great reviews getting train let view open kitchen tasting available table pairs date went hesitation amuse quail egg guys cocktails bit start rest meal mix salty spicy oysters egg parts pig normally touched fork turned fantastic delicious sizzling version hash lamb tender bits spiced fall bone delicious service top notch decor left certainly eats khao different self keg garden yet top expect restaurant somehow datenitenyc ,relative pig great reviews open 
