Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
61,Positive,day early concert decision let might also owner plates urgently insisted favorite sauce house sauce clams octopus pretty awesome crostinis delicious next make day mix full fruit red white pitcher red owner hehe ,full day red house octopus ,1,1,1
129,Negative,right free freedoms country said going exercise free say ordering speak english sign signs last checked outside flat ignorant plus steaks sh added nothing hate mongering bravo done sorry ,nothing done added english steaks ,1,1,1
203,Positive,looks found place miss mainly clear still working reservations must place others teeny arrived bizarrely decided us pulled together another seater wall planning part nobody ended turning away patrons digress tofu come else entrees faint see pad noodles kinda bigger noodles nice apologetic saw us entrees friend tried save home server actually filled charge nice rice open mind time ,away come place rice kinda ,0,0,0
148,Negative,cut true today really look local rating stars things steak ho bad great philly philly totally let service hate lines experience south block two away shares square grid got tips un philly anything pronounce damn whatever want sandwich philadelphians suburbs included go american cheese wiz go night neon seen good enough makes betterer saying cheesesteak american american please thank ,cheesesteak stars square great two ,0,0,0
34,Positive,best birthday put words amazing service give stars food give everybody uno times visited super duper friendly actually working hiding brought homemade cake celebrate us eat frown upon uno nice cake kitchen brought even left uno tip course token appreciation coconut filling will life also go favorite chorizo con also already many many times ever go places will definitely return soon foodcomalogs coâ blogspot ,service definitely times return even ,0,0,0
121,Negative,good review think personal behemoths cheesesteaks seemed classier sense south slightly atlantic city strip excited seemed less worried catching eating food soft massive chunks finely chopped turn beef chopped also seemed cheesesteak around borderline ghetto lucky score blocks away establishments want alone ,cheesesteak think review around also ,0,0,0
460,Positive,time sat bar bartender great friend thought bbq delicious harsh austin one masters austin somehow managed close meet great back still air good place best brooklyn ,place bbq somehow bartender good ,1,1,1
215,Negative,visited three every time feeling disappointed servers lackadaisical good hour friendly given arrived refilled ever sitting counter end phones talking laughing acknowledging offer drafts dollar deal happy even another reviewer mentioned descriptions completely exaggerate actually kitchen food mediocre boring completely ,another time sitting hour every ,0,0,0
248,Positive,area excited meal neighborhood chicken beans batida de chicken juicy black beans used west indian type avocado salad kind prefer creamier good batida ice creamy meal cleaned will try stuff ,prefer neighborhood juicy good area ,1,1,1
128,Negative,philly cheesesteak essential food represents definitely place came friends coworkers two rivals across street trying pats across street good pats mention presentation tasteless dry beef taste cheese bread hard chew gum making bread without store bright neon highly owner spend less money ,cheesesteak two cheese neon without ,0,0,0
21,Positive,catch flamenco tapas oh delicious everything cooked perfectly well stood al ajillo pulpo taste difference authentic flair compared tapas places performers food flamenco dance definitely back place packed weekends possible ,definitely place authentic flamenco weekends ,1,1,1
105,Negative,philly fair share philly years native fans tourist steaks mention pieces steak big roll add since heaven tourist countries think steaks honor without disrespecting countries needless say go original west philly steaks north tourist trap food ,think big without steak steaks ,0,0,0
30,Positive,four last night night flamenco nai village underground establishment makes size create sconces intimate cave daily life seã orita overall places friend made pm charge time reserving place gets packed tighter boquerones drinks stick amazing version balance apple fruit flavors replaced splendor went pitcher sangria absolutely glasses feeling quickly though sure fruit show absolutely gypsy solo performances stunning eyes transfixed watched dig whipping hair around whip clapping music sultry wish set hour places nai make city flamenco show without spain definitely back fire perhaps two ,definitely place apple show flamenco ,0,0,0
117,Negative,pa famous cheesesteaks reading many reviews forced friends road trip allentown philly sole mission cheesesteaks cold winter completely unaware indoor traveling arrived quickly lingo attitude eat got wiz think amazing overpriced cash bread good probably since cheesesteak grease domi ,cheesesteak think eat bread domi ,1,1,1
39,Positive,went food great night liquour margarita mojito beer delicious perfectly spiked awesome selections one ordered jenn believe goes steak perfectly juicy sauce meat share least gambas verde sauce amazing mejillones rã baixas meats good patatas alioli hit night opinion garlicy perfectly cooked shareable dont taste tasty ,margarita juicy patatas gambas food ,1,1,1
707,Negative,getting feeling drop excellence pie kinds pizzas consistently underwhelming light around carelessly bland crust though crispy chewy parts poorly described pizza tomatoes fresh oil thin regular cheese pizza inch chunks beefsteak barely ribbons one basil entire really pre pre buy freeeze many browned refrigerator best ,pizza light poorly though around ,1,1,1
26,Positive,nai awesome great perfect came night one group reservation restaurant suggested person sangria place casual bar romantic fancy means low even easily feel local brought us menu served group plus baskets gambas ajillo garlic sauce favorite dish frito lightly fried fresh cod soft sauce de chicken croquetas jamon good espanola omelette probably least bravas coated house tasty basted sauce bomb skirt steak dish meat tender meatballs brandy sauce chorizo plancha spanish sausage lot fave shrimp fave tortilla espanola good dishes already served felt sangria kept coming dessert time though room food point birthday girl group gluten cake dessert helpful bringing us dancing way sing karaoke street planet rose towards playing salsa will definitely service excellent wait dishes heard hidden gem glad ,service definitely place perfect feel ,1,1,1
122,Negative,visiting traditional cheesesteak went bit noon parking bad expected street parking away much time leaving around line already pretty tacky say guys seemed food seconds think really reading signs example english deporation ignorance managed cross fries coke cheesesteak american cheese different order cheesesteak one window pay move window order pay signage prettttty meat gray ish long onions really roll looked grease napkins went good number digestible however tasty fries cheez although cheese sunk bottom really much go back another try especially across street reason go good food obnoxious really ,another cheesesteak order time think ,0,0,0
15,Positive,one food franchise states nation say mean many times first pepper salt olive regular oil say good freaken explosive freshness taste compared also deli really dine tasted tastier makes watery foods subs pizza etc staff ,times makes food good really ,1,1,1
162,Negative,place cheesesteak bread ketchup weeks back niece said pwweeeaaase tastes sponge anything else want touristy place pay hefty television programs famous come steak worth though open plus star refusal serve speak ,cheesesteak though steak bread worth ,0,0,0
56,Positive,really forward restaurants manhattan tapas disappoint waiters lively service must chicken amazing wraps aceitunas great one back great compliment nai tapas great occasion whether date able rapidly accomodate ,service disappoint waiters date nai ,0,0,0
176,Negative,find honestly shithole go ever thing never pats steak genos opened always enjoy og better pats burn fucking retinas way genos argue america people dont always owners ass lives south live shit tourists deal steak mexican food taco tourist turns one star ,better always steak ever retinas ,0,0,0
178,Positive,question always comes versus great pick going focus rather cheese whiz also use philly concept time bolt south philly also distinct philly service makes great now little soapbox patrons english freedom speech right beliefs ideas construed first language basically sign business probably place review actual ,service place south pick makes ,0,0,0
118,Negative,huge idea even spot food network line went service see windows cooked sitting grill first disappointment disappointment meat served third sandwich warm fourth disappointment taste whole huge throughout ride eat tasteless sandwich much great inside mall pretty ,great sitting spot first see ,0,0,0
