Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
884,Positive,absolute honor reviewer phila upenn broken various rooms homey em makes safe handedly made winter bearable eyes tuaca toddie amish grilled sandwich fave tho dish organic experience someone meal philly without dog ,absolute various makes eyes grilled 
7997,Negative,yuks ppl run rather grade eatery open usa destroy dish well one taste however bare min plz making yesterday saturday night one appreciated rush taste rest road know nightmare ordering listwise dal screwd apart thrid torture dal batti pav taste due deadly dal pav bhaji front pakoda bread pakoda pakoda coz india atleast relished paneer fact add case plain paneer sucks pakoda shake seemed sipping sort water deadly place chat say staff sucks staff tastebuds toss ,run rather one taste however 
590,Positive,make greek good feels outstanding clay pots ceiling ok nothing friends ordering appetizers split main whole lamb fried zucchini grilled octopus thoroughly experience say back ,make greek good feels outstanding 
6644,Negative,reviews jersey monthly magazine try hut pita also montclair ordering kabob pita difference big nice crunch old highly used high attacked sting salad pita falafels comparison falafel well flavor mix balanced flavors conclusion falafel rated kabob pita tender stuffed pita took ratio way every great lamb absorb bites beyond pita also touted monthly cheesesteak stuffed meat cheesesteak ,ordering difference used high salad 
172,Positive,give joey vento politics shove finger since hygiene probably pass select though best steak area said behind dumbfuck cooked perfection first pork sandwich actually compliment staff always patrons well always officer fundraisers lot whether philadelphia police respect lives piece neighborhoods also love old italian men morning coffee breeze lit benches shore feeling clientele days heavy drinking perfect bike ride away ,joey vento probably pass select 
7845,Negative,say moved rahway im businesses mode visiting town hopes pulling parking lot best mexican yay good food part first disagree lot posters liked bit good tortillas set table crisp short chicken dishes chicken taco bland much going seasoned used salt beans rice take dish others flan dessert smooth consistency local business goes ,im businesses mode town parking 
213,Positive,point homemade vegan plate figs onion jam cashew type spread amazing carmelized stuffed really red tasty beet concoction maple roasted lima beans good little tough veg felt liked restaurant open long experience wait staff learning place lot vegetarian options hope regular full ,homemade plate type amazing really 
198,Negative,honestly hoopla hopefully going returning gave part little denial disappointed short pretty big guess first sign food may quality momma type patience service cute faced restaurant unfortunately raining went bread stale pepper made calamari casino mozzarella coconut shrimp shrimp whatever although everything tasty obviously frozen appetizers pre made best super chewy even finish food type seafood spinach sounded interesting seafood looks appetizing chewy weird weird yellow thing explain inside looked fresh shrimp scallops super either frozen picture overall great smell actually made little delicious bf got chicken mimosa seemed ended home expensive appetizer one plus byob honest see many chance ,honestly going returning gave disappointed 
361,Positive,philly sponsor underdogs place revolutionary drapes walls clenched artwork welcoming say might want return gold standard tell underdogs less concerned ben bernanke putting great buns july ones store sturdy crackly chewy enough make appreciate quality rolls bread ratio paramount pepper probably nicely lagers craving happen chihuahua queso blanco play sharp peanut taste dog marries well crispy slaw want kind noodle fries merit unless better writer finish lazily five guys greasy bag peel spuds another cult ish come utah worth following blindly ketchup mayo stop face forms surprisingly condiment smooth concoction juice kicks palate brine nothing chocolate nice think well typically dipping sauce second cents least ,underdogs place walls say might 
1321,Negative,corned beef told yea happens sharp got dish two small happen anywhere else whatever kale good bit much lemon vinaigrette place food whole chicken thing servers lack let anything want two stars nice will take two stars northern spy better minute wait hype ,told happens got two else 
125,Positive,taste test multiple still wins greasy newsflash eating cheesesteak buttery wit cheese whiz onions shaved meat want issues star quality good good take meat everything else comes territory philly know really care line always looong everyone gets win ,multiple buttery whiz onions good 
2514,Negative,appeared top unfortunate girls extremely omelette way dont usually let response incredulous uhhh expecting sort comp polenta fries cut thick barely crispy well huevos food underwhelming service hipster snotty much options available try cafe fantastic friendly service properly eggs ,appeared top girls extremely omelette 
258,Positive,time line line old bric brac much almost uninviting case soon someone comes wait drizzled super inviting line although large groups cozy neon inside room diner outside right next also next dishes potato pancakes overly generous baked mine turkey sausage well really favorite thing kinda tough else made right breakfast different filling reason ,line old much soon comes 
2969,Negative,place sausage gravy biscuits hard winner times silk city screwed throw ladled tasted looked newsflash people eat first taste miserably go back oh eggs philly creativity really ,biscuits hard times city throw 
559,Positive,deck theis night chill place outside enjoy adult beverage caution crowded weekend limit may wait elevator charge another place food dishes fairly priced plan give ,deck night place beverage crowded 
4899,Negative,disappointing cooking proper seasoning simple using correct amount last star fascino lack attention one cooked dente another pasta mush breast touch really finished set high ago returned days roma ,disappointing seasoning using star lack 
102,Positive,philly shame must philly piece time forgot last us world list place world even veggie see yea stars rolls clean place seat day almost half seem steak veggie alert hey philly nice cheese ,must piece forgot last world 
2581,Negative,sabrinas staffed bunch space care already established recent check given minutes food waitress came see needed change times final ready friday morning meh admit french savory dishes well fritattas often southwestern trying together sit eat day nolib ,staffed bunch care already recent 
