Topic_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
3917,AUTO,reid ucs indiana frank kuebelwagen article mentor cc purdue thwang tommy hwang sorry mis spelling forgot spell series exams hand reference still possible cute wwii vw jeep wanna replica great think tkh thing kubelwagen lookalike manufactured mexico possibly south america good luck importing one probably meet us safety pollution requirements mechanics junkyards specialize might helpful finding unless re enacters grabbed german equivalent wheel drive display patton museum fort knox kentucky also rare schwimwagen sp amphibious version full scale dioramas highly recommended ,highly di recommended helpful sorry unless finding rare wwii still ,0,1,1
6518,MEDICINE,dyer spdcc steve fibromyalgia article smoke cs toronto craig macdonald may extremely common something population treatable tricyclic antidepressant type drugs elavil pamelor treated antidepressants considered psychogenic condition happen useful neither ursa major aka ima harvard rayssd linus ,anti neither ur common im tri condition cs considered major ,0,0,0
3560,AUTO,uxa cso uiuc carolinafan bang faraday clas virginia roy matthew thigpen best bet dodge intrepid sohc valve six gets hp hell lot room great styling abs four wheel disk breaks lh cars won automobile magazines year award quiet impressive though chintan amin university illinois urbana champaign llama human goodness moral called insane peart cinderella man ,impressive pear though wheel hell room quiet lot six magazines ,1,1,1
6506,MEDICINE,dougb comm mot doug bank blood cholesterol gabe advice article mojo eng umd georgec george clark forget total assessing health risk factors instead use relationship ldl hdl need least gee must risking something high triglycerides drug choice gemfibrozil lopid taken tablet thirty minutes morning evening meals exercise low fat diet long term effects private systems division ecs motorola communications sector nwu schaumburg illinois casbah acns ,low com drug um fat high exercise use total ld ,0,1,1
3527,AUTO,shou logos asd sgi tom ford explorer need performance axle considering getting xlt following questions go skiing roading limited slip purpose allow tires act independently different terrain will season good enough us lake tahoe thanks silicon graphics shoreline blvd ms fax mountain view ca ,good season us enough questions act will skiing terrain considering ,1,1,0
6531,MEDICINE,rog cdc hp roger haaheim sex problem larry silverberg albnyvms bitnet hello suggested go counselor really want yet interesting know placed info request net world see think react found accept advice unknown entities rather suggestions appreciated well asked ,problem react suggested net cdc info bit found rather see ,1,1,1
3642,AUTO,yfn ysu john daker isuzu amigo opinions sought previous article sdexter shl scott dexter feedback appreciated yet another jeep wannabe designed yuppies will never take road want look outdoorsey dod darkman significant problems face solved level thinking created albert einstein eternal ,created level jeep designed albert will einstein solved yu eternal ,0,0,1
6535,MEDICINE,breathe update rginzberg eagle wesleyan ruth ginzberg thanks responded original post question final diagnosis stress take chiropractic adjustment rachel receives medical care keller army hospital since military dependant yet provide adjustments part regular health hoping arrival spring break college acceptance letters will help unfortunately wait listed dearly wanted attend seems though stressor may continue meanwhile going camping trip religious youth group good reliever advice suggestions ideas philosophy department university usa ,unfortunately eagle will responded breathe thanks hoping acceptance wesleyan meanwhile ,1,1,0
3548,AUTO,faraday clas virginia roy matthew thigpen bang best bet dodge intrepid sohc valve six gets hp hell lot room great styling abs four wheel disk breaks lh cars won automobile magazines year award quiet impressive ,impressive best six award breaks dodge roy automobile matthew hell ,0,1,0
6555,MEDICINE,km cs pitt ken mitchum lung disorders clubbing fingers article slagle msd lmsc lockheed anyone enlighten relationship swelling widening fingertips mechanism physician call chest xrays diagnose cause purists often distinguish true pseudo difference angle nail viewed side constantly negative proceeding distally towards fingertip initially positive normal situation real internists talk hours limited couple minutes whether distinction anything reality entirely unclear one things love paw rounds supposedly associated disease problem list diseases quite long includes congenital conditions acquired since many cardiopulmonary problems leading right left shunts chronic hypoxemia reasonable xray however abnormalities diagnosed cardiac catheterization presumably relates factor causing blood vessels distal dilate abnormally examination tipoff extensive apparent ,extensive negative sl apparent lung normal dil abnormal l pu ,0,0,0
3723,AUTO,ucsbuxa ucsb archie holmes radio question lloking geo prizm lsi today nice anyway questions salesperson answer theft deterrent audio systems work find lterature thanks advance ,find advance thanks questions lt anyway ll pri sales nice ,1,1,0
6501,MEDICINE,mcdonald aries scs uiuc jiggers article cup portal mmm mark robert thorson happen thing chiggers truly awful parasitic affliction understand tiny bugs dig deeply skin burying yuck things oklahoma close mother comes gainesville tex right across border claim chigger capitol world believe grew fort worth bad enough summer attack guaranteed doug ,bad sc attack af awful parasitic cup fort dig guaranteed ,1,1,1
3593,AUTO,dbak elm lle rochester douglas baker performance new mustangs anyone know ratings ho mustang lx time mile top end also tell magazine come look possable year month eveen page thanks doug ,thanks page know time mile ho doug anyone po mustang ,1,1,1
6505,MEDICINE,bennett kuhub cc ukans lungs long take clear tar quitting chances getting lung cancer decrease quickly considerable amount time happen ,cancer quit quickly clear decrease lung long cc amount uk ,0,0,1
3558,AUTO,steve green csiro au subaru liberty owners station wagon months now saying happy understatement great well built handles beautifully plenty power trip mountains narrow windy dirt road often parts ease havent much fun driving car years hey rocky watch pull rabbit hat comms group trick never works branch sleeve presto australia doubt gotta another ,handles never parts power narrow well haven built much trip ,1,1,1
6502,MEDICINE,fulk cs rochester mark breech baby info needed article trentu ca xtkmg kate gregory another uncommon problem maternal hemorrhage remember incidence something births hard see handle home much time thing might consider risk tradeoffs vary loss loved one require considerable effort avoiding seem terrified birth process ridiculous unable believe bodies actually designed evolved discomforts us humans trouble free sacrificed increased brain cranial size wild animals easier domestic horses cows typically worse give family tree complicated pioneer great grandfathers several wives never figure wife child ask happened reached forties quite prosperous farmers nonetheless lost rigors childbirth graveyards spencer indiana boswell north dakota contain gravestones ida wf jacob liptrap may wanted section women carrying case hundred thousand babies hung second stage ten consequences devastating direct experience dozen victims fouled now want born hospital based guess likely false belief fatal always often happens reach adequate help permanently damages health clearly believer divine design however evolution favor kids encourage six inch holes cut stomach muscles expose anesthesia infection whatever measures think necessary wroth read outrageous straw man attack months practically mouth foam statistically sophisticated enough balance risks although produce exact statistics years last looked rest assured balanced caesarean unless indicated hand opposed obvious grounds waiting emergency bear took lead decisions talked things lot leg work main really bothered continued suggestions especially misc kidders pregnant first dangerous even unpleasant far better run naturally know many advocates mother luddite planning sake everyone needs people bother find relative unwilling take significant order nice surroundings view intensity doubt importance anyway somehow values advocating lopsided taking fairly small serious permanent harm preserve esthetic consideration university computer science department ,fu worse problem free loss ridiculous see brain fort might ,0,1,1
3635,AUTO,sawicki naspac tc faa gov michael cta regal fiberglass parts interested buying hood trunk bumpers anybody know company makes regals thanks advance mike ,thanks know michael anybody gov nas ct mike hood saw ,1,1,1
6509,MEDICINE,nyeda cnsvax uwec david nye mental illness reply dabbott augean eleceng adelaide au derek abbott case histories severe cases remarkably recovering tragic accident trauma eg fault trapped fire losing legs say know patient severely chronically depressed tried kill bullet temple essentially gave prefrontal lobotomy curing depression midelfort clinic eau claire wi patently absurd whoever wishes become philosopher must learn frightened absurdities bertrand russell ,depressed mid chronic severe fault depression absurd u severely become ,0,0,0
3574,AUTO,boyle bnr ian volvo cars driven fairly hard none head line going mph first two spend lot operating life speedometer pegged reason speedo want know people hate volvos traumatized someone turbo wagon blowing away road good useful vw beetles though believe beetle corners better say without doubt never blown ever blocked car parks shit owners thought happen makes sure long small box last damn worst drove hired power handling ride reminiscent something character ceased production couple years back passenger big enough go test drive offer neat gifts ,gifts drive ceased something shit production neat spend enough owners ,1,1,1
