Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
440,Positive,excellent laid atmosphere paso omlette chili beans side brisket brisket really chili roasted green chili brisket well meal back ribs ,excellent well atmosphere laid paso back brisk side really beans green meal ribs ,0,0,0
204,Negative,three times disappointed servers good happy arrived leaned counter talking loudly laughing sat happy hour priced deal food hour bar reviewer menu completely actually ,actually disappointed loudly happy reviewer deal laughing food leaned ,0,0,0
62,Positive,pats review usual customer service sightseeing go great steaks yes creepin allow ,allow yes steak sights great customer review go service pat usual ,1,1,1
70,Negative,people first overpriced pretty take seconds order literally places philly better places meat different likes wiz toppings onions pepper fries opinion places inside eat try must ,try pepper opinion over order better pretty literally seconds inside meat topping likes people onions eat first different places ,0,1,1
323,Positive,click yelp far landmark diner cherished patrons surrounding fire stores chaos abounded neighborhood held hands eggs noteworthy penned hit sipping lime mention perfect places fluffy feel line peak hours cookies orange slices time cute ,cute landmark places far line cher diner cookies neighborhood hours ye feel peak noteworthy patrons perfect penned lime surrounding fire ,1,1,0
793,Negative,lunch sitting summer steak ok steak delicious else salad bland bland bland side sat minutes half sure ,bland sat half sitting minutes else salad side summer ok ,1,1,1
38,Positive,time friendly day special came flamenco made confirmed via highly garlic dish quite clams baby clams sauce touch surprise mango townnn heck every perfect ,perfect touch friendly baby surprise highly mango town heck flame made confirmed cl came ,0,0,1
147,Negative,right real thin fills sandwich tons difference colder oh one side fries hot promoting ,hot tons fills thin sandwich difference oh real side promoting colder right fries ,1,1,0
201,Positive,time everything ever wanted sandwich answer means eaten answer haul great drinks great ,great drinks ever sandwich wanted everything answer ,0,1,0
96,Negative,great worse really noob small better hellhole overpriced sandwiches parking sucks still worth ,worse sucks no over better parking really small still great sandwiches ,0,0,0
110,Positive,standpoint average think steak product hot best makes good hella hot think sauces scale tabasco hot ,hell average steak best good stand tab hot makes think ,1,1,0
161,Negative,really joe started first opened thought try cheesesteaks rivals right across street daughter daughter needed restroom piddle saying place friendliness spent one dime lot though headed steak daughter took order eat sure rather cleanliness order sandwich must order windows times ones meat much better stubborn onions sandwich preferred sauteed cheese definitely two cheesesteaks cleanliness friendliness ,preferred much clean rivals across spent better started restroom rather try needed stubborn cheese right order though dime place really ,1,0,1
